pandora_topic_id,topic_term,cnt
TP:103226,Steve Kouleas,126
TP:34631,Will Arnett,126
TP:45213,Mark Dominik,126
TP:191119,John Solomon (political commentator),125
TP:103677,Paul Sweeney (news anchor),125
TP:83601,Kansas City Royals,124
TP:113781,Steven Kapp Perry (radio host),124
TP:112865,Bon Jovi,124
TP:69612,Carl Paulson,124
TP:71010,Peter Asher,124
TP:39047,Philadelphia 76ers,123
TP:120753,Kyle Cantrell (SiriusXM Host),123
TP:83388,Miami Marlins,123
TP:97352,CBS Sports,123
TP:83274,Miami Dolphins,123
TP:103666,Tom Keene (radio host),123
TP:28792,James Harden,123
TP:103667,Jonathan Ferro (news anchor),123
TP:43918,Fred Norris,123
TP:28930,Donovan Mitchell,123
TP:103264,Jeff Mans (SiriusXM Host),123
TP:103668,Lisa Abramowicz,123
TP:112886,Jonathan Davis,123
TP:83595,Texas Rangers (baseball),122
TP:103198,Amin Elhassan,122
TP:149438,Michigan International Speedway,122
TP:105044,Mack (SiriusXM Host),122
TP:71109,Heather B. Gardner (SiriusXM Host),122
TP:103299,Jensen Lewis,121
TP:48468,Gary Williams,121
TP:83304,Dallas Cowboys,121
TP:117830,Gary Lambert (SiriusXM Host),121
TP:2013617,Graham Platner,121
TP:38987,Boston Celtics,119
TP:117836,John McKechnie (SiriusXM Host),119
TP:116041,Jason Sobel,118
TP:259404,West Wilson,118
TP:38940,Buffalo Bills,118
TP:154256,Jordy Meiselas,118
TP:156840,Kyle Cooke,118
TP:133159,Chris Jones,118
TP:69718,Mike Bagley,118
TP:117044,Doug Budin,117
TP:245888,TC Cannon,117
TP:33654,Jim Rome,117
TP:58302,Anthony Herron,117
TP:42944,Dan Le Batard,116
TP:110744,Kenny Chesney,116
TP:103408,Lurie Daniel Favors,116
TP:105047,Keith Roth (SiriusXM Host),116
TP:117838,Joe Bartel (SiriusXM Host),116
TP:44776,Gary Dell'Abate,116
TP:142553,new music,116
TP:117839,Mario Puig (SiriusXM Host),116
TP:83276,Baltimore Ravens,116
TP:117840,Peter Schoenke,116
TP:107889,Taylor Swift,115
TP:117837,Clay Link,115
TP:127718,Mitch Marine,115
TP:140747,trucking culture,115
TP:110084,Madonna,115
TP:103371,Real Talk Raph (SiriusXM Host),115
TP:71748,Cody Decker,115
TP:103146,Chantel McCabe (SiriusXM Host),115
TP:28477,daily fantasy sports,115
TP:38393,Jesse Watters,115
TP:117908,Bill Lekas,114
TP:109229,Charlamagne Tha God,114
TP:140803,MAGA,114
TP:83401,New York Rangers,114
TP:103220,Janet Alvarez (SiriusXM Host),113
TP:32747,Ken Paxton,113
TP:136749,A. J. Ramos,113
TP:103143,Chris Spatola (SiriusXM Host),113
TP:103154,Justin Gage (SiriusXM Host),113
TP:28427,WWE,113
TP:53733,Bobby Carpenter (American football),113
TP:139491,music,112
TP:107866,Scott Engel,112
TP:31635,Steve Bannon,112
TP:117821,Josh Hayes (SiriusXM Host),112
TP:35594,Rory McIlroy,112
TP:113148,Robbie Leslie,112
TP:103370,Anthony Aniano (SiriusXM Host),112
TP:34812,Young Thug,112
TP:112509,Dan Abrams,111
TP:103915,Shane Malloy (SiriusXM Host),111
TP:103213,Arlene Bynon,111
TP:150321,John Middlekauff,111
TP:39830,Antonio Daniels,111
TP:102845,Chris Gimenez,111
TP:161051,ADP rankings,111
TP:28895,Aaron Rodgers,111
TP:36377,Jack Posobiec,111
TP:28296,mental health,110
TP:38080,"Mike Brown (basketball, born 1970)",110
TP:103242,Earle Bailey (SiriusXM Host),110
TP:122927,Cody Alan,110
TP:83398,New York Islanders,110
TP:144014,economy,110
TP:116962,Jonathan Schwartz (SiriusXM Host),110
TP:106748,Larry The Cable Guy,109
TP:103229,Fred 'Bugsy' Buggs (SiriusXM Host),109
TP:107491,Tommy James,109
TP:259436,Ian Mohr,109
TP:83290,Buffalo Sabres,109
TP:110404,Jeff Ament,109
TP:124924,Nedski & Mojo,109
TP:28142,Tech News,108
TP:124512,Mack & Jen,108
TP:86616,Paris Saint-Germain F.C.,108
TP:103236,Dion Deezy (SiriusXM Host),108
TP:152573,Amanda Batula,108
TP:219885,Steve Feinberg,108
TP:148167,Memorial Tournament,108
TP:86617,Liverpool F.C.,108
TP:53903,Sam Mitchell (basketball),107
TP:41395,Karen Hunter,107
TP:2014994,Alex Ferrario,106
null,Justin Morneau,106
TP:31925,Brigham Young,106
TP:40267,Alexis Madrigal,106
TP:118564,David Aardsma,106
TP:118324,Matt Schick,106
TP:144084,trucking accidents,105
TP:106900,Eddie Vedder,105
TP:110313,Sebastian Maniscalco,105
TP:83277,Tampa Bay Buccaneers,105
TP:35184,Dana Perino,105
TP:122644,birthdays,105
TP:113484,Rob Sharkey,105
TP:31344,Chris Jones (American football),104
TP:149842,John Delony,104
TP:147025,WNYC Studios,104
TP:2014993,Brandon Kiley,104
TP:116088,Wes Durham,104
TP:31333,Karl-Anthony Towns,103
TP:259164,Armstrong & Getty,103
TP:196500,Wippa,103
TP:41619,Stone Gossard,103
TP:38918,Los Angeles Chargers,103
TP:116216,Jim Coventry (SiriusXM Host),103
TP:111583,DJ Envy,102
TP:111003,Pete Correale,102
TP:110082,Jimmy Buffett,102
TP:120700,JD Spradlin (SiriusXM Host),102
TP:105064,Karen Carson (SiriusXM Host),102
TP:138897,Joe Gibbs Racing,102
TP:106773,Peter Green,102
TP:118556,Emily Jashinsky,102
TP:144873,AEW Double or Nothing,102
TP:117405,Rahsaan Rogers,102
TP:150409,Lachlan Irvine,102
TP:51694,Nick Wright (sportscaster),102
TP:33223,Shaun Derry,102
TP:28070,News & Political Commentary,102
TP:73558,Dan Jones (historian),101
TP:116380,John McEuen,101
TP:110403,Mike McCready,101
TP:40344,Matt Cameron,101
TP:28269,American history,101
TP:103102,Adam Schein,101
TP:35537,Peter Rosenberg,101
TP:34589,Darby Allin,101
TP:83319,Jacksonville Jaguars,100
TP:33563,Bobby Bones,100
TP:107475,Bob Marley & The Wailers,100
TP:278793,Strait of Hormuz,100
TP:28291,nutrition,100
TP:56147,Rachel Smith,99
TP:116395,Lauren Ashley Smith,99
TP:134853,law enforcement,99
TP:148534,petroleum industry,99
TP:116046,Mariah Smith (SiriusXM Host),99
TP:29350,Holiday::Halloween,99
TP:103678,Greg Bell (SiriusXM host),99
TP:60568,Charlie Davies (soccer),99
TP:62816,Tom Llamas,99
TP:28506,film reviews,99
TP:142066,technology,99
TP:53060,Joe Tolleson,99
TP:120614,Bob Moon,99
TP:29018,Indigenous Heritage,98
TP:155537,Jason Pennington,98
TP:116009,Ted Schuster (SiriusXM Host),98
TP:31700,Maxwell Jacob Friedman,98
TP:103923,Kim Ashley (SiriusXM Host),98
TP:155536,Virginia Sinicki,98
TP:2030504,Gavin Shulman,98
TP:32447,Chad Johnson,98
TP:116033,Dan Dakich,98
TP:138912,NFL Offseason,98
TP:155538,Kevin Rolston,98
TP:37845,Kelly Evans,98
TP:105143,Tinx,98
TP:37351,Gilbert Arenas,98
TP:253068,Zohran Mamdani,97
TP:115968,Christine Pedi,97
TP:43755,Steve Scully,97
TP:111439,Timbaland,96
TP:43347,Todd Haley,96
TP:106274,Smith Sisters,96
TP:125634,"El Pinche Mara, C-KAN & Lefty SM",96
TP:132843,Sheer Mag,96
TP:108236,Jon Bon Jovi,96
TP:109970,Jeff Foxworthy,96
TP:35957,"Jason Williams (basketball, born 1975)",96
TP:43525,Gary O'Reilly,96
TP:124783,Myra,96
TP:147021,SiriusXM,95
TP:103333,Kat Corbett,95
TP:119283,Andres Gonzales,95
TP:103283,Tim Ridley (SiriusXM Host),95
TP:40178,Harry Douglas,95
TP:32946,Luke Burbank,95
TP:182386,Lemonada Media,95
TP:2011917,Voting Rights Act of 1965,95
TP:122506,Freddie Coleman,95
TP:103104,Lino Rulli,94
TP:105054,Jim Ryan (SiriusXM Host),94
TP:150905,Carey Green,94
TP:137655,FYIona (AI),93
TP:35547,Derek Fisher (basketball),93
null,Watkins Glen International,93
TP:83384,Colorado Rockies,93
TP:238210,Kelsie Herzog,93
TP:110263,Nephew Tommy,93
TP:116221,Carol Miller (SiriusXM Host),93
TP:33581,Mike Greenberg,92
TP:40399,Peter Mansbridge,92
TP:139200,socialism,92
TP:29088,fatherhood,92
TP:2022663,David Gass (sportscaster),92
TP:34180,Keyshawn Johnson,92
TP:103112,Jenny Eliscu,92
TP:28994,meditation,92
TP:103233,Talia Parkinson-Jones,92
TP:186247,Elite,92
TP:83657,Las Vegas Raiders,91
TP:149121,New York Post,91
TP:123944,Jordan Feliz,91
TP:86731,Tottenham Hotspur F.C.,91
TP:103349,Gord Stellick,91
TP:118326,Roddy Jones,91
TP:139190,Gaza,91
TP:29201,DC Sports,91
TP:41413,Kirk Morrison,91
TP:117522,Mercedes Javid,91
TP:118339,Ray Flowers (SiriusXM Host),91
TP:29197,Minneapolis Sports,90
TP:140980,geopolitics,90
TP:86623,Real Madrid CF,90
TP:29060,Anderson Cooper,90
TP:110987,Patrick Bateman (SiriusXM Host),90
TP:124766,MAX (rejected),90
TP:103368,KC Phillips (SiriusXM Host),90
TP:66207,Peter Noone,90
TP:38955,Vanderpump Rules (series),90
TP:144053,Canadian politics,90
TP:107814,Mat Kearney,90
TP:50476,John Fugelsang,89
TP:103339,Steve Torre (SiriusXM Host),89
TP:31255,Brian Kilmeade,89
TP:133686,Will MacKenzie,89
TP:103105,Lance Medow,89
TP:143815,NASCAR All-Star Race,89
TP:110076,Adam Carolla,89
TP:112703,Bruce Springsteen & The E Street Band,88
TP:103275,Grace Sharkey (SiriusXM Host),88
TP:103155,Mike Babchik (SiriusXM Host),88
TP:145559,Robert Damron,88
TP:69691,Ron Bennington,88
TP:139576,Oscar Beltran (SiriusXM board operator),88
TP:103277,Rick Neuheisel,88
TP:83275,Denver Broncos,88
TP:38972,New Orleans Saints,88
TP:109383,Torae,88
TP:43489,Dean Obeidallah,87
TP:125665,Joanne Lazzaro,87
TP:145888,Tom Bogert,87
TP:153021,Alexis Thompson,87
TP:126495,Janine LaManna & Kevin Chamberlin,87
TP:36409,Jason Matheson,87
TP:71001,David Fricke,87
TP:105161,Bob Buchmann (SiriusXM Host),87
TP:39042,Brooklyn Nets,87
TP:115569,Donna Lewis,87
TP:40242,Carl Quintanilla,86
TP:39421,Atlanta Falcons,86
TP:103100,Gail Bennington,86
null,Aaron Rai,86
TP:116379,"Johnny ""El Picoso"" (SiriusXM Host)",86
TP:103209,Tom Mazzarelli (SiriusXM Host),86
TP:47315,David Faber (journalist),86
TP:29134,San Francisco Bay Area Sports,86
TP:32132,Maria Bartiromo,86
TP:103521,Meg Griffin (DJ),86
TP:118327,Scott Laughlin (hockey),85
TP:113758,Brian Hefty (SiriusXM Host),85
TP:103253,"Joshua ""J1"" Raiford",85
TP:103208,Libby Leist (SiriusXM Host),85
TP:106208,Paul McCartney,85
TP:111648,Method Man,85
TP:28064,Science For Kids,85
TP:55727,Mark Halperin,85
TP:104177,Jen Morejon (SiriusXM Host),85
TP:137316,empowerment,85
TP:113759,Darren Hefty (SiriusXM Host),85
TP:124895,YBN Nahmir,85
TP:51934,Jim Brickman,85
TP:71168,Jim Ladd,84
TP:37075,Mauricio Pochettino,84
TP:124862,Tone Stith,84
TP:61882,Adam Clayton,84
TP:130765,David Lemieux (archivist),84
TP:137831,Shirley Strawberry,84
TP:56920,Greg Bell,84
TP:31672,Glenn Beck,84
TP:45130,Jim Miller (quarterback),83
TP:225873,Chris Stanley,83
