pandora_topic_id,topic_term,cnt
TP:2021787,Yahoo Sports,5
TP:2030426,Lisa Kerney,5
TP:2031012,craps,5
TP:2030182,Christopher Wilson,5
TP:2030195,Julie Margetta Morgan,5
TP:2030200,John Rakolta,5
TP:2030327,Matthew T. Hartshorne,5
TP:2029865,Jacob Gutierrez,5
TP:2031164,Josh Sciba,5
TP:2030850,Dominic Catalano,5
TP:2030952,Ebony Dix,5
TP:2028958,The Comeback (series),5
TP:2030366,Emanuel Nobel,5
TP:2030331,James Owen,5
TP:2030438,Oren Cohen,5
TP:2030528,Nate Ryan,5
TP:2030202,William Paul,5
TP:2028474,Ian Bailey,5
TP:2030723,Rachel Gilman,5
TP:2028629,Jack Kiraly,5
TP:2030515,Mark Ware,5
TP:2031176,Emily Blumberg,5
TP:2030333,Stephen Brasher,5
TP:2030178,Welcome To Our Nightmare,5
TP:2030181,Mandana Mahmoudi,5
TP:2030721,Henry Abraham,5
TP:2028359,Joy Clark,5
TP:2030880,Breezy,5
TP:2030901,Suede Brooks,5
TP:2030776,Bryan Calvo,5
TP:2031168,Eva Michalakis,5
TP:2030708,Graham McDougall,5
TP:2021177,Thomas Lukaszuk,5
TP:2030848,tending,5
TP:2030430,Raye Zaragoza,5
TP:2031003,Lindsey Bahr,5
TP:2030171,Maya Penn,5
TP:2030866,Brian Schorsten,5
TP:2030864,Jim Gormley,5
TP:2030224,Aziz Abu Sarah,5
TP:2022395,intercessions,5
TP:2031061,Nathan Vanderklippe,5
TP:2030900,Jodie Woods,5
TP:2030313,Palm Beach,5
TP:2028186,Tiffany Crutcher,5
TP:2030958,Anu Bajaj,5
TP:2030556,Julia Terruso,5
TP:2030976,Los Dos De Tamaulipas,5
TP:2030727,MJ Corey,5
TP:2030888,Deron Johnston,5
TP:2028795,grafting (surgery),5
TP:2030058,Nicholas Lemme,5
TP:2030332,Chris Carter (Sports Journalist),5
TP:2030793,Rebels Opera,5
TP:2030914,cliche,5
TP:2030983,Phil Wall,5
TP:2030667,Jocelyn J. Fitzgerald,5
TP:2030677,David Bernholt,5
TP:2030561,Cory Pyke,5
TP:2030879,Dave Zangaro,5
TP:2030080,butter,5
TP:2030923,jeffrey smith (diffrerent guy.  tried to put his stuff in but won't accept),5
TP:2030590,Tim Hortons,5
TP:2030326,Nyarai Mushonga,5
TP:2030877,Deryk Engelland,5
TP:2031213,Peter Dornisch,5
TP:2030794,The Virginmarys,5
TP:2022423,Genesis Invitational,5
TP:2029739,esophageal cancer,5
TP:2030610,Ken Boessenkool,5
TP:2030951,Diane Button,5
TP:2029771,Katharine Wilkinson,5
TP:2030960,Paul Janeway,5
TP:2030396,William Bernhardt,5
TP:2026170,Repatha,5
TP:2030096,Benjamin Breyer,5
TP:2030279,ascension of Jesus,5
TP:2030774,Gordon Quan,5
TP:2030095,scrotum,5
TP:2030097,Viktor Flores,5
TP:2030094,varicoceles,5
TP:2030823,Blake Ashby,5
TP:2030944,Jennifer Knox,5
TP:2022430,Elora Mukherjee,5
TP:2029631,Albert White,5
TP:2031108,Morgan Toney,5
TP:2022216,Bradley Smart,5
TP:2030027,Malissa Wood,5
TP:2029632,Tariq Tucker,5
TP:2030713,Sara Hogan,5
TP:2030929,Brian Anthony Moreland,5
TP:2030335,Avery Tomek,5
TP:2027316,Erik Stocklin,4
TP:2029133,Joe Russo's Almost Dead,4
TP:2030121,Maria Johnson,4
TP:2030688,Andrea Scherz,4
TP:2030482,James Ward (pastor),4
TP:2031128,Brittany Wallace,4
TP:2031130,Homicide Detective,4
TP:2022725,Arvell Reese,4
TP:2022462,Beth Knobbe,4
TP:2030806,Havana Rose Liu,4
TP:2030910,Bruce Leff,4
TP:2030670,John Ashworth,4
TP:2030035,Joseph Disa,4
TP:2030884,Brandon Ocampo,4
TP:2031056,Chaz Molder,4
TP:2030860,WWE Clash in Italy,4
TP:2030908,Michael Ortner,4
TP:2028515,Paid Leave for All,4
TP:2030911,Harman Gill,4
TP:2031151,Sheri Strahl,4
TP:2031054,David M. Beckmann,4
TP:2025892,Party Pupils,4
TP:2030023,Mike Beatey,4
TP:2029381,Cole Tomas Allen,4
TP:2030020,Violet Jira,4
TP:2030686,Amber Smith,4
TP:2030483,Loran Livingston,4
TP:2031129,Family Advocacy,4
TP:2028685,The Testaments (series),4
TP:2030730,Nolan McCaskill,4
TP:2031063,Jason Liebig,4
TP:2031229,Jake Etheridge,4
TP:2031159,Jesse and Noah,4
TP:2030553,Jordan Ranaan,4
TP:2031083,soul music,4
TP:2031190,Marc Leepson,4
TP:2031237,Ani Chkhikvadze,4
TP:2030542,Midnight North,4
TP:2030777,Hannah Puder,4
TP:2031065,James David Manning,4
TP:2030805,Daniel Roher,4
TP:2030043,NCAA Golf Regionals,4
TP:2030467,George Floyd Justice in Policing Act,4
TP:2022139,Ramzi Kassem,4
TP:2031142,The Po Ramblin’ Boys,4
TP:2030441,brain fog,4
TP:2030583,Yohandy Morales,4
TP:2022937,Kristi Cook,4
TP:2030442,Chris Trondsen,4
TP:2030021,turnover,4
TP:2031184,Terry Littlefield,4
TP:2031112,Francis Caracciolo,4
TP:2030044,Josh Kim,4
TP:2030753,bridge repair,4
TP:2029499,Addison Hayes,4
TP:2031183,Fritz Littlefield,4
TP:2030764,Afrikaners,4
TP:2021872,Meghan Reed,4
TP:2031150,Russell Andrews,4
TP:2026561,Liban Mohamed,4
TP:2031186,Tina Marie Geiger,4
TP:2031113,Institute for Ethics and Emerging Technologies,4
TP:2031064,Sarah Szanton,4
TP:2031030,Edict of Milan,4
TP:2031181,Chris Bentsen,4
TP:2031110,Dignity,4
TP:2030039,Randy Villegas,4
TP:2031149,George Koch,4
TP:2031111,Eucharistic Miracle,4
TP:2030031,Ignatius of Laconi,4
TP:2030763,Renita Francois,4
TP:2031180,Kevin Beckett,4
TP:2030631,juice,4
TP:2028298,Haiti men's national football team,4
TP:2031148,Native American Graves Protection and Repatriation Act,4
TP:2031179,Garrett Callahan,4
TP:2031185,Tim Kotalik,4
TP:2030037,Deepika Chopra,4
TP:2030045,Kevin Rhoads,4
TP:2022914,Jesse Mills,4
TP:2030609,Tony Mansolino,4
TP:2022962,Emmett Johnson,4
TP:2021747,Tyneadrian Fleming,4
TP:2030892,Andoni Iraola,4
TP:2021885,RealClearPolitics,4
TP:2030508,Chris Meeks,4
TP:2030890,idle time,4
TP:2030190,Raffi Bilek,4
TP:2030628,Forte Catholic Podcast,4
TP:2030107,Jeff Kiddie,4
TP:2030987,Edmund Barrett,4
TP:2030124,John Allen,4
TP:2030067,Russell Muirhead,4
TP:2028320,Morocco men's national football team,4
TP:2030244,Erick Kutter,4
TP:2030633,Jillian Kaye (RDN),4
TP:2030986,Tech Use,4
TP:2029967,John Cena Classic,4
TP:2021029,David Lascher,4
TP:2030253,Joseph Uscinski,4
TP:2031133,Family Investigation,4
TP:2031029,fruitful,4
TP:2030812,Fernanda Psihas,4
TP:2031137,Profiling,4
TP:2030277,Crybabies,4
TP:2029901,Eric Morris,4
TP:2030119,Louis Tobergte,4
TP:2023864,red meat,4
TP:2030278,Gino Washington,4
TP:2031031,Cynthia Psencik,4
TP:2024709,Morgan Stewart,4
TP:2030672,Goat Hill Park,4
TP:2021266,audiology,4
TP:2030642,DJ Shin,4
TP:2030176,Needoh,4
TP:2030291,Omari Sankofa,4
TP:2030242,Austin Warren,4
TP:2030151,stillness,4
TP:2031182,Rick Marten,4
TP:2030211,Brian Miller,4
TP:2030288,Shango Blake,4
TP:2029320,Ashwyn Singh,4
TP:2030229,Liane Davey,4
TP:2030685,Attitude Era,4
TP:2030630,Taylor Schroll,4
TP:2030156,Catholic art,4
TP:2030538,Gary Bauchs,4
TP:2030235,malik nabors,4
TP:2030145,Centering Prayer,4
TP:2030209,Florence Dore,4
TP:2030177,Joshua Brown,4
TP:2030221,Trump Phone,4
TP:2030406,EPL Title,4
TP:2031187,Esten Weber,4
TP:2030219,Rachael Stoeltje,4
TP:2030629,Playfulness,4
TP:2030142,Christ is Lower Still,4
TP:2030443,Gerard Clarke,4
TP:2030321,Derek Griffith,4
TP:2022220,Lord Cognito,4
TP:2030155,Maria Faustina Kowalska,4
TP:2029720,Louis Tylka,4
TP:2026564,Kevin Walling,4
TP:2030586,Katherine Wilkinson,4
TP:2030153,Pope Boniface IV,4
TP:2030394,Antonia Chen,4
TP:2030237,Peregrine Fletcher,4
TP:2030847,Chiseled Adonis,4
TP:2028831,Rebecca Novack,4
TP:2021449,Greg Dolezal,4
TP:2030405,Philip Poole,4
TP:2030227,Cherolle Prince,4
TP:2030139,Sanctuary Mental Health Ministries,4
TP:2030220,Eric Litke,4
TP:2021280,masking (behavior),4
TP:2030210,Western Schism,4
TP:2021432,Send Help (film),4
TP:2030238,Y'Lan Noel,4
TP:2030232,Talmud,4
TP:2030340,high-sensitivity C-reactive protein,4
TP:2030404,AC Boise,4
TP:2030307,Derek Grasty,4
TP:2030024,Alan Alberto,4
TP:2030116,Zain Chagla,4
TP:2030146,Louisa Levy,4
TP:2030143,Take It Easy,4
TP:2030448,pacifism,4
TP:2030788,Germanus of Paris,4
TP:2030157,Amber Knorr,4
TP:2030523,Billy Ballew,4
TP:2022840,Alissa Bennett,4
TP:2026571,Mysterion the Mind Reader,4
TP:2030772,Laurie Kuslansky,4
TP:2029568,Miranda Yaver,4
TP:2030846,Ross the Chosen One,4
TP:2030446,Catholic Pacifist: The Long and Lonely Quest of Gordon Zahn,4
TP:2030717,Melisa Moore,4
TP:2030632,X-Rays,4
TP:2030724,Papal encylical,4
TP:2030790,Greg Wasinski,4
TP:2030680,recidivism,4
TP:2030314,Mauricio Mejia,4
TP:2030444,Council of Nicaea,4
TP:2028995,Kwanza Jones,4
TP:2030447,Gordon Zahn,4
TP:2030115,Louis Levy,4
TP:2030567,Pegah Ghafoori,4
TP:2030651,Mike Wiser,4
TP:2030033,Samantha Kelley (founder FIERCE),4
TP:2030787,Wars of the Roses,4
TP:2022170,Clay Street Unit,4
TP:2030328,Richard Giovane,4
TP:2021408,Katie Simpson,4
TP:2030501,Dan Miraldi,4
TP:2030674,dangerous behavior,4
TP:2024234,Everton Blair,4
TP:2030403,Zdislava of Lemberk,4
TP:2030101,Chris Storm,4
TP:2029223,Joey Dardano,4
TP:2025743,inner peace,4
TP:2030471,Susan Ottaviano,4
TP:2030074,trading cards,4
TP:2030861,Ariane Andrew,4
TP:2030407,Phyllis Zagano,4
TP:2030699,E-Types,4
TP:2030439,deep plane facelift,4
TP:2029237,Jasmeet Raina,4
TP:2029129,Benjamin Peters (theology professor),4
TP:2030472,Ted Ottaviano,4
TP:2028210,Jean Pierre de Caussade,4
TP:2030796,Ava Everett,4
TP:2030664,Scott Hurd,4
TP:2030786,Margaret Pole,4
TP:2031053,Democratic Congressional Campaign Committee,4
TP:2030729,Molly Weston Williamson,4
TP:2030468,Jessica Killin,4
TP:2029983,Effie Phillips-Staley,4
TP:2030294,Brandon Otto,4
TP:2030056,Fantasy Sports 101,4
TP:2022219,MrMattyPlays,4
TP:2030795,TayJay,4
TP:2030857,Jules Peters,4
TP:2030088,Anchor,4
TP:2030440,Payal Kohli,4
TP:2030445,St. Bernadine of Siena,4
TP:2030679,Kerwin Pittman,4
TP:2030792,Julia Hladkowicz,4
